cohort_date_proxy,acquisition_timestamp_basis,timezone_status,line_id,line_name,source,funnel_id,funnel_name,channel_id,channel_name,video_id,video_title,acquired_observed,seminar_applied_observed,seminar_applied_timestamped,meeting_applied_observed,meeting_applied_timestamped,observed_event_flags,timestamped_event_flags,event_timestamp_coverage_rate,event_timestamp_completeness,cohort_age_days,d7_denominator_eligible_proxy,d7_outcome_exact,snapshot_at,quality
2026-08-05,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,4,1,1,0,0,10,2,0.2,partial,15,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-06,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,WRjN6UeNtcE,【最新版】今アツい稼げるAI副業5選 |Claude CodeやCodexを活用して時代に乗る方法,1,0,0,0,0,1,1,1,complete,14,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-06,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,0,0,0,0,1,1,1,complete,14,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-06,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,MZOtIDFBYQY,【最新版！】Claude Code完全入門マニュアル,1,0,0,0,0,2,1,0.5,partial,14,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-06,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,2,0,0,partial,14,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-06,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,yukkuri,ゆっくりAI副業,,,1,0,0,0,0,1,0,0,partial,14,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
2026-08-07,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,2,0,0,partial,13,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-07,proxy_reader_created_at,unverified,line-yukkuri-legacy,ゆっくりAI起業,YouTube,youtube-yukkuri-legacy,YouTube｜ゆっくりAI｜旧ルート,,,,,1,0,0,0,0,0,0,,unknown,13,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-09,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,1,0,0,0,2,1,0.5,partial,11,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-09,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,0,0,0,0,0,0,,unknown,11,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-09,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,0,0,0,0,1,0,0,partial,11,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
2026-08-10,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,ZcwZhJRDZcA,【最新版】CodexをAPIコスト7割削減しながら限界まで働かせる方法,1,0,0,0,0,1,1,1,complete,10,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-10,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,98se0y1flLo,【AI業界に激震】Claude Fable5は裏側で一体何が起きたのか？,1,0,0,0,0,1,1,1,complete,10,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-10,proxy_reader_created_at,unverified,line-instagram,こすもす【公式】,Instagram,instagram-10-benefits,Instagram｜10大特典,,,,,2,0,0,0,0,7,4,0.5714285714285714,partial,10,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-10,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,1,1,1,0,0,2,1,0.5,partial,10,1,0,2026-08-19T16:03:57.733Z,ok
2026-08-10,proxy_reader_created_at,unverified,line-yuru-legacy,ゆるAI,YouTube,youtube-yuru-legacy,YouTube｜ゆるAI｜旧ルート,yuruyuru,ゆるAI,9z3P90deMBI,【最新版】初心者でもわかるCodexの使い方徹底解説,2,0,0,0,0,1,0,0,partial,10,1,0,2026-08-19T16:03:57.733Z,labels_unavailable
2026-08-11,proxy_reader_created_at,unverified,line-youtube-unified,AI×一人起業【YouTube統合】,YouTube,youtube-unified,YouTube統合,yuruyuru,ゆるAI,hmjIPVylvlw,Claude Codeで使える！Skills機能を世界一わかりやすく解説してみた,1,0,0,0,0,1,1,1,complete,9,1,0,2026-08-19T16:03:57.733Z,ok
